,Happiness Score,Economy (GDP per Capita),Family
0,75870,13965,13495
1,75610,13023,14022
2,75270,13254,13605
3,75220,14590,13309
4,74270,13262,13226
5,74060,12902,13182
6,73780,13294,12801
7,73640,13317,12890
8,72860,12501,13196
9,72840,13335,13092
10,72780,12285,12239
11,72260,9557,12378
12,72000,13372,12970
13,71870,10205,9145
14,71190,13945,12471
15,69830,9812,12328
16,69460,15639,12196
17,69400,13359,13694
18,69370,13078,12856
19,69010,14272,11257
20,68670,12663,12854
21,68530,13601,10818
22,68100,10442,12559
23,67980,15218,10200
24,67860,10635,11984
25,67500,13279,12993
26,66700,11071,11244
27,66110,16904,10786
28,65750,12777,12603
29,65740,10535,12482
30,65050,11789,12064
31,64850,10616,12089
32,64770,9186,12401
33,64550,9669,12650
34,64109,13954,10839
35,63290,12301,13137
36,63019,12074,13020
37,62980,12909,10761
38,62950,15542,11659
39,62690,9953,9720
40,61680,12118,11835
41,61300,7645,10250
42,61230,7455,10435
43,60030,6324,13404
44,59950,11689,12699
45,59870,12707,12571
46,59840,12446,9577
47,59750,8640,9990
48,59600,13237,12162
49,59480,12511,11977
50,58900,6813,9784
51,58890,5944,10152
52,58780,7598,13047
53,58550,11225,11224
54,58480,11849,12738
55,58330,11472,12574
56,58280,5932,11418
57,58240,9001,9745
58,58130,10319,12328
59,57910,11255,12794
60,57699,11248,10702
61,57590,10825,7962
62,57539,11314,11186
63,57160,11376,12361
64,57089,8103,11510
65,56950,12080,10700
66,56890,12081,8931
67,56050,9392,10777
68,55890,8014,8119
69,55480,9584,12266
70,54770,10076,9852
71,54740,13860,10581
72,54290,11517,12279
73,53990,8282,10870
74,53600,6321,9122
75,53320,10609,9463
76,52859,4742,11511
77,52680,6543,9043
78,52530,7704,11039
79,52120,10238,9379
80,51940,5954,4141
81,51920,9019,10539
82,51920,9743,9055
83,51400,8901,9467
84,51289,4703,9161
85,51240,10434,8858
86,51230,9205,10096
87,51020,11599,11393
88,50980,11131,10956
89,50730,7053,10351
90,50570,1884,9515
91,50130,7347,6409
92,50070,9185,10023
93,49710,830,10262
94,49589,8786,8043
95,49490,8322,9191
96,48980,3754,10410
97,48850,8953,11720
98,48760,5906,7380
99,48740,8281,13006
100,48670,7120,10728
101,48570,11540,9293
102,48390,10256,8000
103,48000,11209,12021
104,47880,5953,9534
105,47859,3904,8556
106,47390,8811,6042
107,47150,5986,9255
108,46940,3975,4310
109,46860,10088,5444
110,46810,7990,12027
111,46769,9854,8188
112,46420,9204,11846
113,46330,5455,6795
114,46100,2710,10327
115,45710,712,7896
116,45650,6449,3817
117,45500,5210,10140
118,45180,2667,7430
119,45170,0,10012
120,45140,3599,8644
121,45119,1907,6040
122,45070,3302,9557
123,44360,4540,8690
124,44189,3647,9987
125,43690,4402,5920
126,43500,7682,7771
127,43320,9935,11046
128,43070,2710,7090
129,42970,7419,3856
130,42920,160,4113
131,42710,8352,10190
132,42520,4225,8876
133,42180,10121,11061
134,41940,8818,7470
135,40770,5464,6809
136,40330,7577,8604
137,39950,2607,10352
138,39890,6786,6629
139,39560,2390,7927
140,39310,2110,11329
141,39040,3649,9761
142,38960,10602,9052
143,38450,694,7726
144,38190,4603,6273
145,37810,2852,10026
146,36810,2082,6680
147,36780,785,0
148,36670,3419,7606
149,36560,1741,4647
150,36550,4653,7711
151,35870,2581,8518
152,35750,3198,3028
153,34650,2220,7737
154,33400,2866,3538
155,30059,6632,4748
156,29049,153,4158
157,28390,2086,1399
